nose_k,left_eye_k,right_eye_k,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,eye1,eye2,nose,mouth,head,image_path,label
"(0.7068936228752136, 0.1291779726743698)","(0.7486451864242554, 0.05855817720293999)","(0.764988362789154, 0.1625131070613861)","(0.709344744682312, 0.013837313279509544)","(0.7740265727043152, 0.3193381726741791)","(0.5310863852500916, 0.07433793693780899)","(0.5401297807693481, 0.48914527893066406)","(0.41370242834091187, 0.09247186034917831)","(0.44475167989730835, 0.7988644242286682)","(0.4858134686946869, 0.1289122998714447)","(0.4358184337615967, 0.770054817199707)","(0.1490941047668457, 0.3202240765094757)","(0.1496719866991043, 0.6769999265670776)","(0.20218245685100555, 0.2953120470046997)","(0.21013016998767853, 0.7284778356552124)","(-1, -1)","(0.13255052268505096, 0.6125365495681763)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8101608157157898, 0.35696157813072205, 0.379678338766098, 0.6041642427444458)",20_JPG_jpg.rf.fc859328e9dcea8454e4649972bd9fee.jpg,2
"(0.2861022651195526, 0.17930908501148224)","(0.3824622631072998, 0.13057081401348114)","(0.2713784873485565, 0.13335537910461426)","(0.5893274545669556, 0.14946016669273376)","(0.31370240449905396, 0.10968885570764542)","(0.728716254234314, 0.26394960284233093)","(0.3287785053253174, 0.2555586099624634)","(0.868177056312561, 0.41409802436828613)","(0.13508367538452148, 0.35379377007484436)","(0.9142690896987915, 0.47786006331443787)","(0.160427525639534, 0.2974214553833008)","(0.8293887972831726, 0.6701619029045105)","(0.3952380120754242, 0.6468702554702759)","(0.8620061874389648, 0.7898111343383789)","(0.27698788046836853, 0.7952679991722107)","(0.6668318510055542, 0.9652546644210815)","(0.4689714312553406, 0.9772579073905945)","(0.3628922402858734, 0.13804325461387634)","(-1, -1)","(0.3139183223247528, 0.17471466958522797)","(0.32907581329345703, 0.22283391654491425)","(0.48878908157348633, 0.13827261328697205, 0.43146783113479614, 0.27579325437545776)",baby36_jpg.rf.1698207c1e744e5b052076859aa593a2.jpg,1
"(0.21435603499412537, 0.1852714568376541)","(0.15869513154029846, 0.17975778877735138)","(0.19563546776771545, 0.15110540390014648)","(0.1282368153333664, 0.2292674034833908)","(0.18575699627399445, 0.14352384209632874)","(0.1833149492740631, 0.36161190271377563)","(0.28759998083114624, 0.2975720763206482)","(0.35131412744522095, 0.42230135202407837)","(0.4371633529663086, 0.3130880892276764)","(0.3548440933227539, 0.19551515579223633)","(0.40514540672302246, 0.1106090322136879)","(0.49409016966819763, 0.7310129404067993)","(0.605199933052063, 0.6534013152122498)","(0.685362696647644, 0.7544373869895935)","(0.8298690915107727, 0.6856189370155334)","(0.8188473582267761, 0.8878709673881531)","(0.8697538375854492, 0.84210205078125)","(0.22888731956481934, 0.08807960897684097)","(-1, -1)","(0.27792447805404663, 0.08928710967302322)","(0.3102600574493408, 0.11770429462194443)","(0.17679139971733093, 0.20532675087451935, 0.3415514826774597, 0.3650503158569336)",44_jpg.rf.6d1a89a95e50b4440864e86a45680be7.jpg,2
"(0.861672580242157, 0.16419744491577148)","(0.8683614730834961, 0.14161649346351624)","(0.8765384554862976, 0.1325310468673706)","(0.8495635986328125, 0.14227934181690216)","(0.8491836786270142, 0.10117022693157196)","(0.7371034622192383, 0.2509291172027588)","(0.743806004524231, 0.24109144508838654)","(0.7647106051445007, 0.3202202022075653)","(0.7671445608139038, 0.3200843930244446)","(0.8501625061035156, 0.1469840109348297)","(0.8166109323501587, 0.12691208720207214)","(0.3822344243526459, 0.6125903725624084)","(0.37824225425720215, 0.6130850315093994)","(0.3360244631767273, 0.676673173904419)","(0.3072897493839264, 0.7150334119796753)","(0.13473939895629883, 0.8019431233406067)","(0.14023379981517792, 0.8456906080245972)","(0.7968534231185913, 0.08148344606161118)","(0.8811397552490234, 0.11627355962991714)","(0.8233351707458496, 0.11493539810180664)","(0.7546553611755371, 0.20262961089611053)","(0.8544169664382935, 0.15285775065422058, 0.28958243131637573, 0.30319762229919434)",baby46_jpg.rf.1946de24fab4434b19933ddc34d22773.jpg,1
"(0.39978882670402527, 0.2453409731388092)","(0.35794490575790405, 0.21452490985393524)","(0.4280162751674652, 0.20545503497123718)","(0.25264066457748413, 0.2491426020860672)","(0.4361550211906433, 0.22004175186157227)","(0.17573615908622742, 0.4079245924949646)","(0.39466145634651184, 0.37592047452926636)","(0.07402393966913223, 0.5477473735809326)","(0.4845689833164215, 0.44963040947914124)","(0.10379950702190399, 0.3919288218021393)","(0.4964476525783539, 0.2667672336101532)","(0.11646272987127304, 0.800396740436554)","(0.33828699588775635, 0.7504448890686035)","(0.1436597853899002, 0.8475381731987)","(0.4466394782066345, 0.8049629330635071)","(-1, -1)","(0.37931960821151733, 0.9134982824325562)","(0.3555757701396942, 0.23755662143230438)","(-1, -1)","(0.4060279428958893, 0.2622434198856354)","(0.40332135558128357, 0.3421160578727722)","(0.21077847480773926, 0.20180407166481018, 0.4215569496154785, 0.32973116636276245)",Sideways_19_jpg.rf.dac7727a3ffc36736b5adea75f8c6aca.jpg,1
"(0.9875490069389343, 0.4509389400482178)","(0.9849711656570435, 0.3994591236114502)","(0.9976158142089844, 0.42376941442489624)","(0.9293383359909058, 0.3914012908935547)","(0.9554473757743835, 0.4349585175514221)","(0.8279246091842651, 0.4789145588874817)","(0.8391674757003784, 0.5766538977622986)","(0.8418083190917969, 0.6673755645751953)","(0.8507140874862671, 0.7747822403907776)","(0.9711926579475403, 0.759617805480957)","(0.9047492742538452, 0.7629979848861694)","(0.5579397082328796, 0.579278290271759)","(0.5528270602226257, 0.6550969481468201)","(0.6798916459083557, 0.7342268228530884)","(0.661840558052063, 0.7910879254341125)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8766235113143921, 0.19491395354270935, 0.24489803612232208, 0.37997347116470337)",Cubo_07_JPG_jpg.rf.09843898995a94b1a89c96c8f28f2590.jpg,2
"(0.31981360912323, 0.7296956777572632)","(0.2928757667541504, 0.7625812292098999)","(0.26957932114601135, 0.7514384388923645)","(0.3220588266849518, 0.7565490007400513)","(0.24055249989032745, 0.7114120721817017)","(0.43921202421188354, 0.5947432518005371)","(0.37421903014183044, 0.577733039855957)","(0.5706395506858826, 0.539434552192688)","(0.4016934037208557, 0.5373808145523071)","(0.5565008521080017, 0.6254908442497253)","(0.3168449401855469, 0.6788910627365112)","(0.7110437154769897, 0.25439924001693726)","(0.6393603086471558, 0.22445884346961975)","(0.7838627696037292, 0.2987643778324127)","(0.6953130960464478, 0.23546838760375977)","(0.8444592356681824, 0.17735998332500458)","(0.8028815388679504, 0.1369732916355133)","(0.3001328110694885, 0.699038028717041)","(0.3684907555580139, 0.779083251953125)","(0.3550413250923157, 0.7234583497047424)","(0.3899489641189575, 0.6865411996841431)","(0.3125705122947693, 0.7319117784500122, 0.29042086005210876, 0.34206295013427734)",baby38_jpg.rf.0a716a9a9401f5817a7b4c9acd8a80d6.jpg,1
"(0.6783850193023682, 0.5031222105026245)","(0.7061766386032104, 0.5009561777114868)","(0.7200421094894409, 0.5386706590652466)","(0.6934587359428406, 0.5080222487449646)","(0.7159818410873413, 0.5985819697380066)","(0.5481254458427429, 0.4465608596801758)","(0.5426852107048035, 0.6730431318283081)","(0.4471551775932312, 0.3470083475112915)","(0.4319654405117035, 0.7227663993835449)","(0.5113788843154907, 0.4511738717556)","(0.46246272325515747, 0.7986314296722412)","(0.2799493968486786, 0.28804293274879456)","(0.26925742626190186, 0.4789535403251648)","(0.2842952311038971, 0.26656073331832886)","(0.24079814553260803, 0.5030496716499329)","(0.26983895897865295, 0.28614702820777893)","(0.26097673177719116, 0.3969683349132538)","(0.8847234845161438, 0.8797296285629272)","(0.7971717715263367, 0.9171661138534546)","(0.8286590576171875, 0.8855193853378296)","(0.8114151954650879, 0.8130477070808411)","(0.8658822774887085, 0.7726956009864807, 0.2578231394290924, 0.44262781739234924)",baby46_jpg.rf.3f0d64baeab8b2bf66ae568619e6460b.jpg,1
"(0.20538854598999023, 0.6248214244842529)","(0.167790025472641, 0.6662183403968811)","(0.16469912230968475, 0.5988656282424927)","(0.1802554577589035, 0.6743791699409485)","(0.1707177460193634, 0.4854438304901123)","(0.3165484070777893, 0.592194676399231)","(0.32278209924697876, 0.3920711874961853)","(0.35423925518989563, 0.6519553065299988)","(0.3507135510444641, 0.270530641078949)","(0.22458377480506897, 0.45545563101768494)","(0.23183636367321014, 0.12549714744091034)","(0.6342311501502991, 0.5081133246421814)","(0.6239688992500305, 0.313096821308136)","(0.6857260465621948, 0.6314244270324707)","(0.6898821592330933, 0.4085356593132019)","(0.7983835339546204, 0.5333871245384216)","(0.7960149049758911, 0.5022961497306824)","(0.15242543816566467, 0.5847769975662231)","(0.16259899735450745, 0.6798514127731323)","(0.18196724355220795, 0.6368934512138367)","(0.22564736008644104, 0.6339214444160461)","(0.14164793491363525, 0.5838404893875122, 0.2592807710170746, 0.26792049407958984)",42_jpg.rf.22b7b70f7a09586d446d03fca8c1aca5.jpg,1
"(0.8292135000228882, 0.22178411483764648)","(0.7854787111282349, 0.15573175251483917)","(0.825189471244812, 0.17662930488586426)","(0.6307823061943054, 0.13649506866931915)","(0.6971422433853149, 0.13870854675769806)","(0.4326760768890381, 0.3034816384315491)","(0.568892776966095, 0.28602391481399536)","(0.6484335660934448, 0.5236448049545288)","(0.759199321269989, 0.442094087600708)","(0.8510634303092957, 0.37679991126060486)","(0.8521412014961243, 0.2811085283756256)","(0.10368843376636505, 0.744817852973938)","(0.26082199811935425, 0.6848931908607483)","(0.3264983296394348, 0.7604745030403137)","(0.5566157102584839, 0.7478788495063782)","(0.29008060693740845, 0.9139057993888855)","(0.3836236894130707, 0.916307270526886)","(0.7367373704910278, 0.17052610218524933)","(0.804450511932373, 0.15960678458213806)","(0.8032514452934265, 0.19276206195354462)","(0.7950547933578491, 0.24597497284412384)","(0.5516523718833923, 0.15047048032283783, 0.5868075489997864, 0.29000914096832275)",47_jpg.rf.5f95a7dbf9c8614fb65234ee3d20f21a.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",youtube-3_jpg.rf.b19379efd4b63e79428219f07f790978.jpg,2
"(0.8810577392578125, 0.598150908946991)","(0.9083738327026367, 0.6145200729370117)","(0.8967094421386719, 0.6205319166183472)","(0.9063560366630554, 0.6041457056999207)","(0.8577152490615845, 0.6365691423416138)","(0.7876346707344055, 0.5543731451034546)","(0.7496448755264282, 0.5481187701225281)","(0.84272301197052, 0.5008575320243835)","(0.8044750094413757, 0.5339905023574829)","(1.0, 0.5576931238174438)","(0.9940789937973022, 0.6321218013763428)","(0.41699209809303284, 0.3520360589027405)","(0.3759462833404541, 0.3474295735359192)","(0.2698724865913391, 0.251183420419693)","(0.21822364628314972, 0.24803440272808075)","(0.10161952674388885, 0.1411389857530594)","(0.07064361870288849, 0.11851529777050018)","(0.8355274200439453, 0.6266120076179504)","(-1, -1)","(0.8576686978340149, 0.5700381994247437)","(0.8246763348579407, 0.5492671132087708)","(0.7972657084465027, 0.6754071712493896, 0.292222797870636, 0.28200215101242065)",23_jpg.rf.32adc0c9b9d67d80992867f9f8d9407e.jpg,1
"(0.27218765020370483, 0.33984947204589844)","(0.32387858629226685, 0.265497088432312)","(0.21751439571380615, 0.3215797245502472)","(0.5325047969818115, 0.24494704604148865)","(0.18138165771961212, 0.36655253171920776)","(0.7076103687286377, 0.4032970368862152)","(0.287445604801178, 0.5709903240203857)","(0.9514018893241882, 0.37492650747299194)","(0.17530162632465363, 0.6685718297958374)","(0.8549067378044128, 0.12647978961467743)","(0.17441324889659882, 0.4427946209907532)","(0.9190732836723328, 0.7816339731216431)","(0.42469316720962524, 0.913894534111023)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.3301923871040344, 0.3123254179954529)","(0.20378880202770233, 0.33560699224472046)","(0.24946793913841248, 0.3741544783115387)","(0.27245646715164185, 0.46280497312545776)","(0.39160171151161194, 0.27225440740585327, 0.4770062565803528, 0.5397156476974487)",17_jpg.rf.f099ca0e58f3581d26d0265c2fe69d90.jpg,1
"(0.3511391878128052, 0.6900904178619385)","(0.3502156138420105, 0.6837900280952454)","(0.3284844160079956, 0.6990031003952026)","(0.3501507639884949, 0.644837498664856)","(0.30227455496788025, 0.6307710409164429)","(0.3597923517227173, 0.5229525566101074)","(0.3199685215950012, 0.5940130352973938)","(0.4177800714969635, 0.5621780157089233)","(0.3599412143230438, 0.6672014594078064)","(0.4453655779361725, 0.740077018737793)","(0.4136025309562683, 0.7525502443313599)","(0.417921245098114, 0.37891581654548645)","(0.37300485372543335, 0.45190104842185974)","(0.48184213042259216, 0.5093376636505127)","(0.4282916188240051, 0.5958197712898254)","(0.5337237119674683, 0.6158076524734497)","(0.49496370553970337, 0.6885239481925964)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_3_6_png_jpg.rf.9c78ca083a488b1a49629f1f1cafa88d.jpg,1
"(0.5332028865814209, 0.35694295167922974)","(-1, -1)","(0.5459286570549011, 0.35148462653160095)","(0.48819565773010254, 0.3689909875392914)","(0.5560736060142517, 0.3793167471885681)","(0.48928600549697876, 0.397825688123703)","(0.571014404296875, 0.42233529686927795)","(0.4442221224308014, 0.44352754950523376)","(0.6223536133766174, 0.5003896951675415)","(0.4536495804786682, 0.4478958249092102)","(0.638414740562439, 0.5186439752578735)","(0.5190898180007935, 0.5250247716903687)","(0.6020094752311707, 0.5299745798110962)","(0.49250784516334534, 0.6343188881874084)","(0.6040251851081848, 0.581813395023346)","(0.5619124174118042, 0.728061318397522)","(0.5959095358848572, 0.6542219519615173)","(0.07849147915840149, 0.5541814565658569)","(-1, -1)","(-1, -1)","(-1, -1)","(0.5360770225524902, 0.35086789727211, 0.12426300346851349, 0.10700845718383789)",C7E5488D-D604-4720-BDA7-C312A75193DE_JPG_jpg.rf.e11e1e832dd3b3fa06609b7ca4118b9e.jpg,2
"(0.5402503609657288, 0.6045734286308289)","(0.5295363664627075, 0.5746294260025024)","(0.577888011932373, 0.6483588814735413)","(0.5088272094726562, 0.4832194447517395)","(0.6292859315872192, 0.6843424439430237)","(0.44167131185531616, 0.42775049805641174)","(0.5593527555465698, 0.7404648661613464)","(0.3080252408981323, 0.3597060739994049)","(0.5406352877616882, 0.7865673899650574)","(0.19356589019298553, 0.4308880865573883)","(0.41896143555641174, 0.7761973142623901)","(0.46132200956344604, 0.3700631260871887)","(0.5537339448928833, 0.6126313209533691)","(0.5417965054512024, 0.40785446763038635)","(0.6540956497192383, 0.7197868824005127)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.18529357016086578, 0.8786928057670593, 0.3690337538719177, 0.23481369018554688)",3862_png_jpg.rf.413aef885fa8c78f1c71bf18449e0528.jpg,2
"(0.27028292417526245, 0.8624550700187683)","(0.2301236391067505, 0.8796008825302124)","(0.25358912348747253, 0.8996879458427429)","(0.21182923018932343, 0.8406120538711548)","(0.25218743085861206, 0.8938983678817749)","(0.2377299964427948, 0.7736037373542786)","(0.32907241582870483, 0.79913330078125)","(0.42118558287620544, 0.6597919464111328)","(0.58791583776474, 0.6880462765693665)","(0.49412935972213745, 0.7358883619308472)","(0.7633649110794067, 0.773931622505188)","(0.482982337474823, 0.4405152201652527)","(0.5676075220108032, 0.40646475553512573)","(0.70743727684021, 0.29297253489494324)","(0.7802848815917969, 0.25888592004776)","(0.8185198903083801, 0.09971346706151962)","(0.8609491586685181, 0.070386603474617)","(0.148106649518013, 0.8704414367675781)","(0.2422092854976654, 0.9169845581054688)","(0.22388653457164764, 0.8760392069816589)","(0.25753194093704224, 0.8422735929489136)","(0.16976448893547058, 0.8781073689460754, 0.33894532918930054, 0.24249228835105896)",49_JPG_jpg.rf.3ef9e22944700f6b74b565b1b8c96c99.jpg,1
"(0.1396496295928955, 0.44724535942077637)","(0.13803410530090332, 0.40959423780441284)","(0.13690848648548126, 0.4039410650730133)","(0.23259606957435608, 0.37395426630973816)","(0.2287953644990921, 0.33421584963798523)","(0.4289380609989166, 0.4630832076072693)","(0.37298184633255005, 0.4547295570373535)","(0.31463512778282166, 0.7047808766365051)","(0.2813982665538788, 0.6168468594551086)","(0.15254124999046326, 0.6393459439277649)","(0.12560896575450897, 0.5184639692306519)","(0.7817059755325317, 0.6484358906745911)","(0.7035444974899292, 0.6392362117767334)","(0.5782623887062073, 0.8047822713851929)","(0.5094956159591675, 0.7485979795455933)","(0.6496210098266602, 0.8423066139221191)","(0.6450629234313965, 0.8207236528396606)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.3415946960449219, 0.31478849053382874, 0.6368732452392578, 0.4069577157497406)",57_jpg.rf.479646787c905a1a570261bef48c91b0.jpg,2
"(0.5712305903434753, 0.7777377963066101)","(0.5465535521507263, 0.8423784375190735)","(0.6205844283103943, 0.8051239848136902)","(0.48315897583961487, 0.8680133819580078)","(0.7066034078598022, 0.7796208262443542)","(0.4380675256252289, 0.7189432382583618)","(0.6827360391616821, 0.6431814432144165)","(0.3371637165546417, 0.5908699035644531)","(0.8074910044670105, 0.46517282724380493)","(0.4914187788963318, 0.44308561086654663)","(0.8955358266830444, 0.3953641951084137)","(0.3043694496154785, 0.38252079486846924)","(0.5604208707809448, 0.31225132942199707)","(0.1551193743944168, 0.29713448882102966)","(0.5715444684028625, 0.1757461130619049)","(0.23778505623340607, 0.12922735512256622)","(0.37960776686668396, 0.05881915241479874)","(0.5106380581855774, 0.8200576901435852)","(0.6407787203788757, 0.8248197436332703)","(0.5759418606758118, 0.7831847071647644)","(0.5864872932434082, 0.7392258644104004)","(0.6030973196029663, 0.8464328646659851, 0.3187705874443054, 0.3040027618408203)",85_jpg.rf.696c4a3f4ce17673dad57a25fbb7c6e2.jpg,1
