nose_k,left_eye_k,right_eye_k,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,eye1,eye2,nose,mouth,head,image_path,label
"(0.4647148549556732, 0.18014931678771973)","(0.38187092542648315, 0.1585829257965088)","(0.5388959646224976, 0.14876523613929749)","(0.29066914319992065, 0.22727373242378235)","(0.6765587329864502, 0.17567086219787598)","(0.26783663034439087, 0.35617610812187195)","(0.7414137721061707, 0.295002818107605)","(0.1434464454650879, 0.4658341407775879)","(0.9323959350585938, 0.3642285466194153)","(0.1819067895412445, 0.4796779751777649)","(0.8938553929328918, 0.33353686332702637)","(0.3141545355319977, 0.6897720098495483)","(0.7605947256088257, 0.6929532289505005)","(0.2771349847316742, 0.7944682240486145)","(0.7471644878387451, 0.8143891096115112)","(0.49135011434555054, 0.9468942880630493)","(0.6732551455497742, 0.9784439206123352)","(0.39630746841430664, 0.17674395442008972)","(0.5481686592102051, 0.17143896222114563)","(0.4730871319770813, 0.1905021220445633)","(0.4868835508823395, 0.22631022334098816)","(0.47961264848709106, 0.16166982054710388, 0.3670716881752014, 0.22918513417243958)",Nanit_21_JPG_jpg.rf.3a52cc9af0235fe3dbbf4cd1e15607a9.jpg,1
"(0.10445475578308105, 0.6600000262260437)","(0.05262036249041557, 0.6794543266296387)","(0.0803532600402832, 0.7151808142662048)","(0.040862180292606354, 0.653501033782959)","(0.11781349033117294, 0.7590950131416321)","(0.12837597727775574, 0.4735771715641022)","(0.22748956084251404, 0.7811073064804077)","(0.21441221237182617, 0.22693927586078644)","(0.39987948536872864, 0.8005964159965515)","(0.15510520339012146, 0.3001865744590759)","(0.37892574071884155, 0.7254847288131714)","(0.5239877104759216, 0.31697171926498413)","(0.5963517427444458, 0.6085965037345886)","(0.6138657331466675, 0.1772455871105194)","(0.6891239881515503, 0.5498913526535034)","(0.8682794570922852, 0.2156853973865509)","(0.8551983833312988, 0.4005185067653656)","(0.09832252562046051, 0.6859351396560669)","(0.167593315243721, 0.7715991139411926)","(0.1498871147632599, 0.712907612323761)","(0.1835075169801712, 0.6681722402572632)","(0.13408955931663513, 0.7218242883682251, 0.26811227202415466, 0.3355688154697418)",baby20_jpg.rf.b60977ec3d9d53b45cf6a0e6bb9a0757.jpg,1
"(0.20106251537799835, 0.8959832191467285)","(0.15577146410942078, 0.8675241470336914)","(0.1695985049009323, 0.9376434087753296)","(0.15593592822551727, 0.7306308150291443)","(0.19113746285438538, 0.9288711547851562)","(0.28649967908859253, 0.5911310315132141)","(0.3492160737514496, 0.8781459927558899)","(0.3130762577056885, 0.40939411520957947)","(0.4337661862373352, 0.9354335069656372)","(0.35665541887283325, 0.3900761902332306)","(0.3931456208229065, 0.908697783946991)","(0.6680766940116882, 0.3624647557735443)","(0.6960088014602661, 0.6165862083435059)","(0.745566725730896, 0.4090474247932434)","(0.7766574025154114, 0.7314369678497314)","(0.8897235989570618, 0.42469412088394165)","(0.8912509679794312, 0.5021480917930603)","(0.1741303652524948, 0.9082537889480591)","(-1, -1)","(-1, -1)","(-1, -1)","(0.14979501068592072, 0.7858126163482666, 0.27135616540908813, 0.41941919922828674)",Miku_06_JPG_jpg.rf.16d21ab387e320dd41774110d30f30aa.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8015042543411255, 0.7021040320396423)","(-1, -1)","(0.6761500835418701, 0.9060254096984863)","(-1, -1)","(0.5519563555717468, 0.8727699518203735)","(0.3895319104194641, 0.38691145181655884)","(0.30391159653663635, 0.5512758493423462)","(0.33491724729537964, 0.7822291254997253)","(0.24597561359405518, 0.9476494789123535)","(0.15313389897346497, 0.7333852052688599)","(0.10497190803289413, 0.7030683755874634)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.551602303981781, 0.4980451464653015, 0.896795392036438, 0.996090292930603)",Miku_11_JPG_jpg.rf.46435c5e8659c55c3e99caead898e939.jpg,2
"(0.8215344548225403, 0.5325642824172974)","(0.8217554092407227, 0.5655444264411926)","(0.8543392419815063, 0.5515352487564087)","(0.7560226321220398, 0.6086587309837341)","(0.8532966375350952, 0.5687079429626465)","(0.6244653463363647, 0.5884523987770081)","(0.7966486811637878, 0.45485812425613403)","(0.48997369408607483, 0.6574796438217163)","(0.877498984336853, 0.41075199842453003)","(0.5103772878646851, 0.7999207377433777)","(0.965580940246582, 0.5196228623390198)","(0.38963231444358826, 0.37830302119255066)","(0.5572050213813782, 0.2670895457267761)","(0.24433815479278564, 0.306885302066803)","(0.5135465264320374, 0.12232379615306854)","(0.18168926239013672, 0.14667865633964539)","(0.2916582226753235, 0.08322100341320038)","(0.8311710357666016, 0.5746018290519714)","(0.8316619992256165, 0.574359118938446)","(0.8112503290176392, 0.5312363505363464)","(-1, -1)","(0.7972983121871948, 0.6114078164100647, 0.25075244903564453, 0.234080508351326)",baby4_jpg.rf.3ba496cd1004cdf2eb74862c68996883.jpg,1
"(0.3424413502216339, 0.6946131587028503)","(0.31226810812950134, 0.7314539551734924)","(0.3007086515426636, 0.705032229423523)","(0.31478479504585266, 0.7789299488067627)","(0.263508141040802, 0.6891794800758362)","(0.36523348093032837, 0.6728575825691223)","(0.39685750007629395, 0.6591442227363586)","(0.4744952321052551, 0.5914337635040283)","(0.48824676871299744, 0.5765427350997925)","(0.5540400743484497, 0.687267541885376)","(0.5545386075973511, 0.6155053377151489)","(0.6344128847122192, 0.4265212118625641)","(0.6866360902786255, 0.45164695382118225)","(0.7105878591537476, 0.367957204580307)","(0.789487361907959, 0.44666966795921326)","(0.8380073308944702, 0.2703443467617035)","(0.8742502927780151, 0.36192187666893005)","(0.29836955666542053, 0.6834484934806824)","(0.34252873063087463, 0.7412035465240479)","(0.3492768406867981, 0.6816188097000122)","(0.3582535684108734, 0.6672496795654297)","(0.26592010259628296, 0.7285183668136597, 0.2923209071159363, 0.28270357847213745)",100_jpg.rf.53a8dd0bc08193aa9bfe7bc112e69a07.jpg,1
"(0.17402224242687225, 0.30400463938713074)","(0.13441264629364014, 0.304630309343338)","(0.1392553746700287, 0.35305896401405334)","(0.1335880309343338, 0.37490615248680115)","(0.16343827545642853, 0.5209144353866577)","(0.3155882954597473, 0.2839599847793579)","(0.2655319571495056, 0.6577540636062622)","(0.39885395765304565, 0.12051177024841309)","(0.34602755308151245, 0.8699232339859009)","(0.23925018310546875, 0.10280446708202362)","(0.21563196182250977, 0.8027417063713074)","(0.7215386629104614, 0.32562482357025146)","(0.6463581323623657, 0.7183274030685425)","(0.8550159335136414, 0.2642926275730133)","(0.7558282017707825, 0.7695831656455994)","(1.0, 0.46797579526901245)","(0.9848411679267883, 0.7548854351043701)","(-1, -1)","(-1, -1)","(0.18511268496513367, 0.32352352142333984)","(0.22065797448158264, 0.3407217860221863)","(0.1336091309785843, 0.4716774821281433, 0.24541059136390686, 0.35346850752830505)",30_JPG_jpg.rf.ac5d01dcdba6edb36769a93d266f94b2.jpg,1
"(0.7902860641479492, 0.4310235381126404)","(0.8138435482978821, 0.42794543504714966)","(0.8104004859924316, 0.4199541211128235)","(0.7941899299621582, 0.40346425771713257)","(0.7866426706314087, 0.3705579340457916)","(0.6963247656822205, 0.4278773367404938)","(0.6778987050056458, 0.3540012240409851)","(0.6640413999557495, 0.38658320903778076)","(0.6421185731887817, 0.27382177114486694)","(0.7893760800361633, 0.40038251876831055)","(0.7633442282676697, 0.2913890480995178)","(0.3669295907020569, 0.4156171679496765)","(0.36273568868637085, 0.3449394106864929)","(0.2152475118637085, 0.4092814028263092)","(0.23056964576244354, 0.3498505651950836)","(0.07905907928943634, 0.38579416275024414)","(0.07474818080663681, 0.3585028052330017)","(0.8044230341911316, 0.40230250358581543)","(0.8045255541801453, 0.40224599838256836)","(0.79285728931427, 0.44126033782958984)","(0.7363414168357849, 0.43791690468788147)","(0.8085989952087402, 0.9398325681686401, 0.3826889097690582, 0.11949940025806427)",baby5_jpg.rf.de452e93665ee7cb896e263cbe7e3436.jpg,1
"(0.5749213695526123, 0.6517080664634705)","(0.5881940126419067, 0.6736654043197632)","(0.6328274011611938, 0.7184789776802063)","(0.5960317850112915, 0.6185652017593384)","(0.720702588558197, 0.7496123909950256)","(0.5003577470779419, 0.5238184928894043)","(0.6754149198532104, 0.6520320177078247)","(0.3989759385585785, 0.23866534233093262)","(0.7845916152000427, 0.5131785869598389)","(0.4323214590549469, 0.08237548172473907)","(0.8289774656295776, 0.24714796245098114)","(0.3030112385749817, 0.718192458152771)","(0.39200344681739807, 0.7985867857933044)","(0.2730453610420227, 0.7545105218887329)","(0.3548702299594879, 0.7995654344558716)","(0.20188140869140625, 0.8759074211120605)","(0.17787253856658936, 0.928309440612793)","(0.5269087553024292, 0.7169358134269714)","(0.6456419229507446, 0.7060707211494446)","(0.5811112523078918, 0.6579106450080872)","(0.5813308954238892, 0.5944039225578308)","(0.6037536859512329, 0.7775160670280457, 0.3012262284755707, 0.43199023604393005)",baby39_jpg.rf.a58c8aa6c6ac22d45c152050bf53bf11.jpg,2
"(0.8623226284980774, 0.48530691862106323)","(0.9031522870063782, 0.5440276265144348)","(0.9110802412033081, 0.4778788685798645)","(0.8539841771125793, 0.6772783398628235)","(0.8932641744613647, 0.5127217173576355)","(0.678064227104187, 0.8025866746902466)","(0.7023857831954956, 0.4151701033115387)","(0.5758266448974609, 0.8837270736694336)","(0.6776811480522156, 0.22628791630268097)","(0.6532517671585083, 0.8330217599868774)","(0.823883056640625, 0.32325130701065063)","(0.08314814418554306, 0.7963573932647705)","(0.09840388596057892, 0.40071409940719604)","(0.04690093919634819, 0.7730504870414734)","(0.06795740127563477, 0.2157701700925827)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8585271835327148, 0.6175339818000793)","(0.8572431802749634, 0.7232601642608643, 0.2855137288570404, 0.49791574478149414)",5_jpg.rf.8eee658e7e805ee2b3c52934293769de.jpg,2
"(0.30296722054481506, 0.8584784269332886)","(0.24172551929950714, 0.9154155850410461)","(0.2590390145778656, 0.7375982403755188)","(0.21535158157348633, 0.8753522634506226)","(0.25615450739860535, 0.46963486075401306)","(0.3442668616771698, 0.49980753660202026)","(0.47302311658859253, 0.6530019044876099)","(0.49752432107925415, 0.6474161744117737)","(0.7379792928695679, 0.8761826753616333)","(0.6470502614974976, 0.7198500633239746)","(0.7649253606796265, 0.8372220993041992)","(0.773052990436554, 0.23062673211097717)","(0.840690016746521, 0.2810004949569702)","(0.8410218358039856, 0.8401589393615723)","(0.9484814405441284, 0.8479140400886536)","(0.9584909677505493, 0.6681075692176819)","(0.9752828478813171, 0.693003237247467)","(0.2545626759529114, 0.6886838674545288)","(0.2614256739616394, 0.9568235278129578)","(0.2934906482696533, 0.851538360118866)","(0.35616692900657654, 0.8391927480697632)","(0.20126906037330627, 0.6698214411735535, 0.3944988250732422, 0.6603571176528931)",80_jpg.rf.9de5a28e1bb8a01b1de2ec76636caace.jpg,2
"(0.6791885495185852, 0.3868573307991028)","(0.7407326102256775, 0.37462133169174194)","(0.7140506505966187, 0.3956547677516937)","(0.7859422564506531, 0.40389713644981384)","(0.7487708330154419, 0.4586954712867737)","(0.7231263518333435, 0.533568799495697)","(0.6217297315597534, 0.4591240882873535)","(0.5470680594444275, 0.5781670808792114)","(0.4552801251411438, 0.4571720063686371)","(0.491182416677475, 0.49043765664100647)","(0.48376888036727905, 0.3988740146160126)","(0.45671430230140686, 0.7136212587356567)","(0.35477152466773987, 0.6370106339454651)","(0.32129770517349243, 0.7392026782035828)","(0.27024176716804504, 0.5956770777702332)","(0.15456876158714294, 0.8008440136909485)","(0.18625971674919128, 0.6589398384094238)","(0.7168270349502563, 0.37738919258117676)","(-1, -1)","(-1, -1)","(-1, -1)","(0.7603331804275513, 0.4358482360839844, 0.2816440463066101, 0.18132543563842773)",44_jpg.rf.7724f6e883ca1a37d5dfb2f4f3a73001.jpg,1
"(0.48061901330947876, 0.25075656175613403)","(0.44213229417800903, 0.24822504818439484)","(0.4589400291442871, 0.22317883372306824)","(0.3944166898727417, 0.332919180393219)","(0.4243570864200592, 0.23228950798511505)","(0.40499287843704224, 0.4725290834903717)","(0.5256264805793762, 0.28349190950393677)","(0.34661826491355896, 0.596429169178009)","(0.5938435792922974, 0.2297060191631317)","(0.23034930229187012, 0.5269225239753723)","(0.48328980803489685, 0.12087955325841904)","(0.6152133345603943, 0.676210880279541)","(0.742300808429718, 0.49570170044898987)","(0.6479820013046265, 0.8049615621566772)","(0.8244583010673523, 0.5480517148971558)","(0.7917335033416748, 0.8418452143669128)","(0.8644434213638306, 0.7452191710472107)","(0.44253310561180115, 0.2430512011051178)","(-1, -1)","(-1, -1)","(-1, -1)","(0.4000704884529114, 0.2694834768772125, 0.21988070011138916, 0.21778622269630432)",13_JPG_jpg.rf.1694de050b0765e889a98beaae43cd7d.jpg,1
"(0.8392313122749329, 0.23152439296245575)","(0.8360081911087036, 0.19673994183540344)","(0.844504177570343, 0.1888704001903534)","(0.7238556742668152, 0.17845669388771057)","(0.7701483964920044, 0.13851985335350037)","(0.6917721629142761, 0.3049542307853699)","(0.5608391165733337, 0.17669598758220673)","(0.7078167200088501, 0.5137349367141724)","(0.4998440146446228, 0.2605999708175659)","(0.8604227900505066, 0.48424237966537476)","(0.6958333849906921, 0.25649988651275635)","(0.3066823482513428, 0.5720697641372681)","(0.2063884735107422, 0.48865360021591187)","(0.3691210150718689, 0.7629523277282715)","(0.2572232782840729, 0.7135617733001709)","(0.1466982662677765, 0.8514207005500793)","(0.1753346025943756, 0.8524349331855774)","(0.9250337481498718, 0.22755296528339386)","(-1, -1)","(0.9206806421279907, 0.2658345103263855)","(0.8943710327148438, 0.3082343637943268)","(0.7965065836906433, 0.17699624598026276, 0.3926437497138977, 0.33172014355659485)",44_jpg.rf.e2ff0ac39fa5283e6fd96268c9c057f8.jpg,2
"(0.4090674817562103, 0.5140852928161621)","(0.3862583041191101, 0.5267505645751953)","(0.42635735869407654, 0.5248634815216064)","(0.3479020297527313, 0.5269815325737)","(0.4608854651451111, 0.5223360061645508)","(0.3666509985923767, 0.47661954164505005)","(0.4698781967163086, 0.48757877945899963)","(0.2884994447231293, 0.4470759332180023)","(0.5181835889816284, 0.46570172905921936)","(0.25016695261001587, 0.4221982955932617)","(0.5635136365890503, 0.43146342039108276)","(0.3674488961696625, 0.37544316053390503)","(0.46864399313926697, 0.37845534086227417)","(0.29291263222694397, 0.35075563192367554)","(0.44146591424942017, 0.35196441411972046)","(0.2935256063938141, 0.32678288221359253)","(0.34561222791671753, 0.31989601254463196)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.6025381684303284, 0.9407037496566772, 0.6509143114089966, 0.11859245598316193)",122_png_jpg.rf.b680e614cb44aa1ef0ba9a547373c40b.jpg,1
"(0.7604018449783325, 0.5276549458503723)","(0.7599004507064819, 0.557002067565918)","(0.7923704981803894, 0.5421633124351501)","(0.6923519372940063, 0.5958070158958435)","(0.7902034521102905, 0.5546229481697083)","(0.5717511177062988, 0.5731902718544006)","(0.731157124042511, 0.45457711815834045)","(0.44841623306274414, 0.6322506666183472)","(0.8047669529914856, 0.4139767587184906)","(0.4839552938938141, 0.7612951993942261)","(0.8928393125534058, 0.5206074118614197)","(0.3501930832862854, 0.38318541646003723)","(0.5109767317771912, 0.27291378378868103)","(0.21365337073802948, 0.3291763365268707)","(0.4777105450630188, 0.14851975440979004)","(0.1669185906648636, 0.18142111599445343)","(0.2874770760536194, 0.10565958172082901)","(0.7599727511405945, 0.5605874061584473)","(-1, -1)","(-1, -1)","(-1, -1)","(0.7319528460502625, 0.5977888107299805, 0.22335700690746307, 0.20794133841991425)",13_JPG_jpg.rf.aac9fbdb5c7a4daf8dc94c34e809faf4.jpg,1
"(0.8439035415649414, 0.796599268913269)","(0.8251914978027344, 0.8503596186637878)","(0.707459568977356, 0.8343608975410461)","(0.7440275549888611, 0.8693138957023621)","(0.43016284704208374, 0.7734726667404175)","(0.5061822533607483, 0.6614096164703369)","(0.5859474539756775, 0.6152693033218384)","(0.7783254384994507, 0.5060938596725464)","(0.8052322268486023, 0.43087834119796753)","(0.8427489399909973, 0.7088257074356079)","(0.8626275062561035, 0.6781007647514343)","(0.24351128935813904, 0.18786434829235077)","(0.36124151945114136, 0.1452949047088623)","(0.6788303852081299, 0.18922051787376404)","(0.7982646822929382, 0.10079679638147354)","(0.46597281098365784, 0.0974179282784462)","(0.6255055665969849, 0.03222355991601944)","(0.7496792078018188, 0.8520025014877319)","(-1, -1)","(0.9041717648506165, 0.8221139907836914)","(0.9199166297912598, 0.7761667966842651)","(0.6564348936080933, 0.8464616537094116, 0.6868497133255005, 0.302895724773407)",81_jpg.rf.f86a4ee05b839046b67e7e6093e4ccce.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.7933384776115417, 0.5169767141342163)","(0.7147876024246216, 0.569756805896759)","(0.6945804953575134, 0.616738498210907)","(0.6222075819969177, 0.6881545782089233)","(0.6336401700973511, 0.7426148056983948)","(0.7047148942947388, 0.6812670826911926)","(0.7037814259529114, 0.6924074292182922)","(0.3644552528858185, 0.32150018215179443)","(0.34776192903518677, 0.3599894940853119)","(0.23093251883983612, 0.57184898853302)","(0.23877497017383575, 0.5552887916564941)","(0.14941711723804474, 0.41109833121299744)","(0.13005903363227844, 0.2423674315214157)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_16_JPG_jpg.rf.d9fb25dbb947a3c3c0a052a33949bdcb.jpg,1
