right_eye,left_eye,nose,mouth_right,mouth_left,image_path,label
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",24_JPG_jpg.rf.3d14e3e44aed9369ee17bb2452e7e151.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby29_jpg.rf.8a142da01b1a85292551a5615dfb7c6c.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Sideways_124_jpg.rf.cce8c4d32e68a93b263070f12a886456.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",frame_27_png_jpg.rf.db22bb34e37308088513752df262d4ff.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Miku_03_JPG_jpg.rf.f3b0ccbc44d723882e5716a1e256b429.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",723D0525-E04A-4538-A7A1-1A9C5ED2FCD1_JPG_jpg.rf.0240497adf112f307d6fd2366d28a858.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Cubo_08_JPG_jpg.rf.28f8471bfd4290f90319c72c42a22cf6.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Nanit_22_JPG_jpg.rf.afc0ea069bb2638c0b0a40b435921e48.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",6_jpg.rf.dd0b3b4dcb3602d1ab03b5f9c7527183.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Prone_135_jpg.rf.e69ecd028b16f8d4c21da1ad1630848a.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",7_jpg.rf.ac00c7f48a93dc0e34cce7f37c59cef0.jpg,2
"(265.0, 612.0)","(255.0, 612.0)","(260.0, 618.0)","(263.0, 625.0)","(255.0, 625.0)",Supine_92_jpg.rf.87128bee05c0d69eb60048c0c5e42466.jpg,1
"(390.0, 185.0)","(382.0, 189.0)","(388.0, 192.0)","(393.0, 195.0)","(387.0, 198.0)",baby39_jpg.rf.8ceb9d82440d2b32c9c69cb6abc6207b.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Miku_01_JPG_jpg.rf.a3d0aa8c7098da95cd6698aab91962ca.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",37_jpg.rf.077e47ebeb42811e33066a2258945e5b.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",2424_png_jpg.rf.f236180b7605c7766ea94c8a6cc6bfd5.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",2_jpg.rf.186913e2480427ea1596249582669cc1.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Prone_12_jpg.rf.897430452ac42c15a81a103ae613d446.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby23_jpg.rf.cd7b96161bcff67060328adb30db3bb8.jpg,2
"(391.0, 317.0)","(383.0, 318.0)","(388.0, 323.0)","(391.0, 327.0)","(384.0, 328.0)",IMG_0435_jpeg_jpg.rf.48a7c9a2c8a2d10302d1e5d2dc03a109.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby18_jpg.rf.cd701bbf95ea41250f6f962d34964e42.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",2189_png_jpg.rf.c6901697371d51bfaf9a9f55525b46f7.jpg,2
"(90.0, 131.0)","(81.0, 131.0)","(85.0, 138.0)","(88.0, 142.0)","(81.0, 141.0)",5D0B679C-196B-469F-9492-0D0C9F6D92FD_JPG_jpg.rf.c8819a7f4fbf6c3e7aebf7c8f5642e96.jpg,1
"(334.0, 455.0)","(273.0, 443.0)","(330.0, 469.0)","(319.0, 541.0)","(283.0, 531.0)",baby41_jpg.rf.beb485b5bdf890500c8b54e03b2d7926.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",frame_1084_png_jpg.rf.94fcce98e98ad037187eeeab5b65672f.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",frame_1017_png_jpg.rf.57d0e7cd99909a52e410d8671df6a012.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",5_jpg.rf.9091fc3e68848afad09cf7234b00a870.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",60_jpg.rf.cfe0a5fc0867c2610e2660b055f4ba06.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby14_jpg.rf.238ec27ffc341714ebe68dabeb071472.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Nanit_16_JPG_jpg.rf.8d747c4c49746efb9b19334f1e71498e.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",122_png_jpg.rf.b161885e6c1a3a353a9e1e64e46d1346.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",56_jpg.rf.c32acac0cfe41b8e3dedc4c69b60f9d0.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",922_png_jpg.rf.d6b651e62512eec7667c90bb67dde35c.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Cubo_09_JPG_jpg.rf.b71f352e2888b43be535f35dd6c87d17.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",89_JPG_jpg.rf.5744bbb924f4835e2900e912be149a8e.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",98_jpg.rf.e935ed8c8a36099e982c801ec2264d51.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",28_jpg.rf.c62c336d78989fec780d6b956d6742f8.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",2460_png_jpg.rf.96e298ea2f7a71e490bf309e9e709dcb.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",26_jpg.rf.6a9f85c6a6f39863acbd0fac5f4053e4.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",IMG_0407_jpeg_jpg.rf.25ef401ca7ee1d96b84d3745ffed7d1f.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby36_jpg.rf.82c44da8e1b2f9d5acc161721147d9e6.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Nanit_10_JPG_jpg.rf.7caeff6ecfa07c2d52613b3288f93296.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",91_JPG_jpg.rf.02bc60293ad65f63dfc40d0cbdc3aff1.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",32_jpg.rf.3dbfd3425c113c3a432ac591dff1101a.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Miku_01_JPG_jpg.rf.ec9db56ffbc59ed61859dab3a0e9c03c.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",56_jpg.rf.7d74d89b6890e8f2b4847913d4cb96e2.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",frame_22_jpeg_jpg.rf.5a6cd0d4c6e89e6471a272d7b96e121a.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby42_jpg.rf.8b25f20abdc0d9f622814970ea501d10.jpg,1
"(282.0, 362.0)","(273.0, 357.0)","(275.0, 366.0)","(276.0, 372.0)","(268.0, 368.0)",31C5816B-843C-403B-9F29-2B192AA512AD_JPG_jpg.rf.feb13b043a373b81bc494c6f8fa66eec.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",1923_png_jpg.rf.05e0eb57fab8b0e5a82d3be576c5a0cc.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Miku_10_JPG_jpg.rf.937833a3891f9464a9898f4e66acd549.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",38_jpg.rf.54d01c8c841521d5d809338091ed8569.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",4000_png_jpg.rf.83388bc4f13251b4653591dbc8b66fef.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",15_jpg.rf.7bbb1f9edc1f9d7e49de7ddc3adf0f54.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",13CF73E6-D200-4C3B-9A5A-BF0E5F6A531C_JPG_jpg.rf.b02cf8ee3f1f2a793a60710ace7cd3b2.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby33_jpg.rf.448ff267d211452f417778e41743af32.jpg,2
"(426.0, 428.0)","(375.0, 437.0)","(397.0, 469.0)","(426.0, 493.0)","(388.0, 500.0)",1921_png_jpg.rf.abd1b5ece36c704bbbc0d6105f2ad313.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Miku_10_JPG_jpg.rf.3518cfede2fef4078e19abfb894ed040.jpg,1
"(319.0, 212.0)","(281.0, 230.0)","(313.0, 235.0)","(335.0, 252.0)","(303.0, 267.0)",67_jpg.rf.26bbd93cbf51887d704e8392a7230587.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby2_jpg.rf.aa8f592b72aee5e60103eab3156e73c5.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",frame_1_18_png_jpg.rf.4641a829cfdbc0d36954d52093534b07.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Nanit_07_JPG_jpg.rf.e136680578b0a0fa370d9e82653e6e1d.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",4943_png_jpg.rf.1e78cf1dea005cfb76c41fbbcecaff2a.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Cubo_06_JPG_jpg.rf.bdbbcbdda428cf6e9f362a0a69ee1e72.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",frame_27_png_jpg.rf.0cd5708e174414240e633cd3abe796c8.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",15_jpg.rf.7ffc9a294e3ae2b729c1d689d7548131.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",38_jpg.rf.0e0534263030c5c876129ff891600a0d.jpg,1
"(269.0, 474.0)","(188.0, 477.0)","(228.0, 524.0)","(263.0, 561.0)","(193.0, 562.0)",baby24_jpg.rf.26333d7ecdaf04dc22dcd9d0e31b4c33.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",3739_png_jpg.rf.756ca78723b9469c9f61d881af21754e.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",frame_1068_png_jpg.rf.4514a9c5f31a1f82076d10e23711d242.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",95_jpg.rf.2a9118d77bcbc5d83e46e214c7c160c6.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",frame_617_png_jpg.rf.e6f8c39a177b86f44b34834f410c0c2a.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",11_jpg.rf.3ecc38ba6d47a1d58ff95a2d715f29c9.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Sideways_109_jpg.rf.fe2c47e270cb839671d74548528c0385.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",2424_png_jpg.rf.ba35303f06aa64bedc523a867ff2e97d.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby9_jpg.rf.def20e5c01e84757f8cb73d4981a266d.jpg,1
"(398.0, 478.0)","(385.0, 476.0)","(393.0, 487.0)","(395.0, 496.0)","(385.0, 495.0)",8183A0BE-C370-4CDD-8252-6B699E31D570_JPG_jpg.rf.955e09e07223486cb7f30911544ba793.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Nanit_29_JPG_jpg.rf.d3fac117949a3e41c8b7721ecc6f2f02.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby7_jpg.rf.55a4d38b32e3a9888e8e274254e24183.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby34_jpg.rf.f444834f82438919f7d725957debf01f.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",10_JPG_jpg.rf.e34d8344bcb74e4a19d32e5bdff8cd08.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",33_JPG_jpg.rf.fd7a56f7316683a9317f42c08a3c831b.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",87_jpg.rf.630160857281d0ce7019ff83abd59586.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",56_jpg.rf.a988d7d64a2b26f17462f7e4e50d06fb.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",73_jpg.rf.2ba6b543f91d23fc088209ade42e1aa4.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Nanit_30_JPG_jpg.rf.2f963b4d47bab404d2738ed38bc2a90e.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",frame_15_4_png_jpg.rf.75172a5886961a69326292478befebdc.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",frame_16_png_jpg.rf.82471ccbd412969c381dcd520f7b25ff.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",9563_png_jpg.rf.4176627b8b0827e777d6d3e016548be4.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby5_jpg.rf.873b1a26de1e2fa90c54a11ab0e7e84b.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",922_png_jpg.rf.1fdc43cfcf00ec7b9bedcd90b5780f44.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",2181_png_jpg.rf.91281d9aa2a6e5aec29e5bc5118d4ff3.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",9605_png_jpg.rf.744d0e2616e7dcf2b72b566527d90478.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",26_jpg.rf.b86c55738301a7236c296731af74ba71.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby45_jpg.rf.3e02507bd0a31a5c7554a50d37ac1e87.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby15_jpg.rf.a94d1350e6b761c79255187a9a577044.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Prone_10_jpg.rf.aa66c561166bd9fdc301598077ef3f0b.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Prone_84_jpg.rf.316a7bcf325f6827ece3071e0f5205dc.jpg,2
"(212.0, 61.0)","(197.0, 62.0)","(203.0, 70.0)","(210.0, 80.0)","(197.0, 82.0)",frame_1_18_png_jpg.rf.2c112923012c5423e113b2873af4bf9c.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby36_jpg.rf.6be1c2c19820bbbb24e7311493ab497c.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",1923_png_jpg.rf.502dcc5a754c2030112014e15635f93d.jpg,2
"(551.0, 117.0)","(538.0, 119.0)","(543.0, 128.0)","(550.0, 134.0)","(541.0, 134.0)",5_jpg.rf.14c0bbbb115dfcdb329bcc760741fdd8.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",2152_png_jpg.rf.d5e7c55911dbfb4b3f1964c9221f4203.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Cubo_06_JPG_jpg.rf.ceea49afe61520db2bb21ad0a205e902.jpg,1
"(607.0, 561.0)","(592.0, 563.0)","(600.0, 569.0)","(607.0, 579.0)","(594.0, 581.0)",Cubo_05_JPG_jpg.rf.64996c2f4f9db2929e65cb5ea47f9273.jpg,2
"(291.0, 375.0)","(270.0, 375.0)","(281.0, 389.0)","(288.0, 399.0)","(272.0, 399.0)",frame_33_png_jpg.rf.05a065858eff4f45e0f428686ec52fc2.jpg,2
"(179.0, 136.0)","(140.0, 182.0)","(201.0, 186.0)","(215.0, 210.0)","(192.0, 245.0)",v2_3049_png_jpg.rf.c1bcb61b6bf94280a8205971114ecd24.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",34_jpg.rf.a5e6e36586f00d4bc20e1286d345ce01.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Miku_03_JPG_jpg.rf.fa3c976e5a0de1b906fc285e3fb72ff5.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Nanit_23_JPG_jpg.rf.d65d606d5e12fb6bb36846847d509048.jpg,2
"(46.0, 568.0)","(33.0, 568.0)","(41.0, 573.0)","(46.0, 583.0)","(34.0, 583.0)",Cubo_09_JPG_jpg.rf.f4be95717ceaa88bff834c6e7834b567.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",2150_png_jpg.rf.5c2b56583ea616a458e3dc9b42b98ca5.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Miku_03_JPG_jpg.rf.13cd03d4b4d9c3459f1e2e82db7fa004.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",3791_png_jpg.rf.3e7c0c14a6dd2186778868469f833a48.jpg,2
"(333.0, 283.0)","(295.0, 288.0)","(315.0, 295.0)","(334.0, 321.0)","(302.0, 326.0)",baby24_jpg.rf.f2c3bbc5e44d20b2a4344a03b9dce84f.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",1922_png_jpg.rf.3de2877a8d346738754da2bf6a479c8f.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby1_jpg.rf.6a9054d11dc833956df846b3e8715eda.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",frame_62_1_png_jpg.rf.8986e9deae73235d1b7eca09b9dcab26.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",70_jpg.rf.854fe48797e085e7dab9d4ab70d69e10.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",frame_1230_png_jpg.rf.a40d7b69ca3f441258c8843ec97d854c.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby11_jpg.rf.3809d26b25929b69b19dde6a43fc6d24.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",6_jpg.rf.4307c866d3311527ca323ca9c5dd387f.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",IMG_0425_jpeg_jpg.rf.985d37097495915534f70dbab869b65b.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",Nanit_19_JPG_jpg.rf.a17753b28bc8ba89e2a39cf2cd0af250.jpg,1
"(379.0, 416.0)","(363.0, 422.0)","(376.0, 429.0)","(383.0, 434.0)","(370.0, 439.0)",IMG_0463_jpeg_jpg.rf.04851c137fe660516d06470316a55d40.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",7_jpg.rf.05654d77afb9cfa863e54c07c2888df5.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",IMG_0421_jpeg_jpg.rf.68fb86f3808850068c38faba498d6425.jpg,2
"(631.0, 493.0)","(623.0, 494.0)","(627.0, 498.0)","(630.0, 503.0)","(624.0, 503.0)",frame_584_png_jpg.rf.6d85405211277338adeb930910ec9160.jpg,1
"(117.0, 65.0)","(102.0, 66.0)","(110.0, 73.0)","(116.0, 84.0)","(104.0, 85.0)",frame_96_jpeg_jpg.rf.467d06bf72f066ac7a2d57579639a234.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",8248_png_jpg.rf.a9b14802f1d207c37e6f2415d34ca464.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",9563_png_jpg.rf.decd842319a89c70459a63bb6bf6a4ae.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",27_jpg.rf.f23f2a4aac8101d2d8dce89f6516ca12.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby31_jpg.rf.cdd2cee23c9bbdb79e333eff9ed90505.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",69_jpg.rf.a4b48f5301179c30e168d92abb6f7156.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",19_jpg.rf.4a9bfae2292b6b5acedb2739423cfb3d.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",2531_png_jpg.rf.28515bf8dec573429f157e0b6db8197c.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",56_jpg.rf.cceca7d4dbf490a68940b2c6c5c7f785.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",85_jpg.rf.158455e1b8a23dc8b9d8cbab04966ac2.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",9500_png_jpg.rf.8a2b061c44cb1b0598f5e6296015c510.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",baby28_jpg.rf.b8e91be68540c8b904c464fff5c871dc.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",frame_14_2_png_jpg.rf.9c1fd0dc2aa3fbac7cafb55cd989dfbf.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",7_jpg.rf.6a96082c103458d859c97508ce657f54.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, 1)",84_jpg.rf.f801265c2a295cb6293f15089f23d224.jpg,2
