eye1,eye2,nose,mouth,head,image_path,label
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",42_jpg.rf.22b7b70f7a09586d446d03fca8c1aca5.jpg,1
"(0.7347613573074341, 0.17453685402870178)","(-1, -1)","(0.8055232763290405, 0.19381432235240936)","(0.7998150587081909, 0.24070756137371063)","(-1, -1)",47_jpg.rf.5f95a7dbf9c8614fb65234ee3d20f21a.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",youtube-3_jpg.rf.b19379efd4b63e79428219f07f790978.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",23_jpg.rf.32adc0c9b9d67d80992867f9f8d9407e.jpg,1
"(0.330617755651474, 0.30927181243896484)","(0.20606133341789246, 0.33720916509628296)","(0.24765849113464355, 0.37104377150535583)","(0.27130600810050964, 0.45952335000038147)","(0.38538917899131775, 0.2737155854701996, 0.45910701155662537, 0.5442731976509094)",17_jpg.rf.f099ca0e58f3581d26d0265c2fe69d90.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_3_6_png_jpg.rf.9c78ca083a488b1a49629f1f1cafa88d.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.537063479423523, 0.3509938716888428, 0.11676235496997833, 0.11012754589319229)",C7E5488D-D604-4720-BDA7-C312A75193DE_JPG_jpg.rf.e11e1e832dd3b3fa06609b7ca4118b9e.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",3862_png_jpg.rf.413aef885fa8c78f1c71bf18449e0528.jpg,2
"(0.2574840486049652, 0.8422619104385376)","(-1, -1)","(-1, -1)","(-1, -1)","(0.17224134504795074, 0.8802086710929871, 0.3444826900959015, 0.23614558577537537)",49_JPG_jpg.rf.3ef9e22944700f6b74b565b1b8c96c99.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",57_jpg.rf.479646787c905a1a570261bef48c91b0.jpg,2
"(0.641287624835968, 0.8220663070678711)","(0.5081396102905273, 0.8198137283325195)","(-1, -1)","(-1, -1)","(0.6023196578025818, 0.8427760004997253, 0.3152994215488434, 0.31017035245895386)",85_jpg.rf.696c4a3f4ce17673dad57a25fbb7c6e2.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.2890956997871399, 0.24194316565990448, 0.17720909416675568, 0.2051648199558258)",baby16_jpg.rf.953fc8c80812cdaa8b1a08d0bfa5a596.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",IMG-20240322-WA0087_jpg.rf.ef48e15a34c68c82244d39da9bce4d9a.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",baby34_jpg.rf.b923c48a87dc91bfefc7ad11f93d2a1a.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Cubo_07_JPG_jpg.rf.8f00fa04a3544c821cdd4af5f0e73271.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.5072240829467773, 0.4985179305076599, 0.9632377624511719, 0.9944252967834473)",Miku_01_JPG_jpg.rf.2c9574ce81c5c6904a0b6ba17aa2a8e5.jpg,2
"(0.0747578889131546, 0.22683560848236084)","(-1, -1)","(-1, -1)","(-1, -1)","(0.20846228301525116, 0.17502956092357635, 0.3760870099067688, 0.3289685845375061)",44_jpg.rf.7398ab6edc38e0b17775bac268983d81.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",62_jpg.rf.cb884f8ab5765c2f57709289133cf613.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_103_png_jpg.rf.b15f7762eaed2e56511d8b196b264e14.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.6386407017707825, 0.35780951380729675, 0.7097837328910828, 0.7104387879371643)",baby15_jpg.rf.5770f96e82ae19518b4327bd371d40fb.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.5068963170051575, 0.5248221158981323, 0.9857233166694641, 0.9503558278083801)",13_JPG_jpg.rf.fccadf0f3ffb57008da09fea1d695f0c.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",7_jpg.rf.25837785629fc2b03bc07c117730ec48.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",1251_png_jpg.rf.e09a4f13e457a43ad525577d05397240.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.22386804223060608, 0.3472346365451813, 0.44698572158813477, 0.3504694104194641)",Prone_168_jpg.rf.d55ec935a8f93379cde40875ccdbb6e2.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Miku_10_JPG_jpg.rf.9cf78e2beb9c9db2a68741a5f83ba57d.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_23_JPG_jpg.rf.aa2ae9083233158dade03e723785b4fd.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.17144900560379028, 0.2867635190486908, 0.3413272500038147, 0.5043107271194458)",baby33_jpg.rf.6f1d1b725c77e78d86a077cb44a4745b.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",278_png_jpg.rf.ffe79233db2539cdc3101df99d76da6b.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",8524_png_jpg.rf.cbc2fd8e9816f3b48706e4f927234392.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_1073_png_jpg.rf.e234a58c3d82f615edccd3a8ce508a49.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_39_JPG_jpg.rf.995da8a1d37a74fec1eb288f8c258474.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",53_JPG_jpg.rf.cf47e36a7287dcd9f1af5928ef92e437.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_21_JPG_jpg.rf.4687f81766523f5fc720e6c78a03aa6d.jpg,1
"(0.3376317322254181, 0.7617868185043335)","(-1, -1)","(-1, -1)","(0.26617369055747986, 0.8351026773452759)","(0.1502765715122223, 0.679018497467041, 0.29830577969551086, 0.5400384664535522)",baby24_jpg.rf.1dd12791ad9da6272101ace62f72d680.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",baby44_jpg.rf.50c705d3e99bc83d757ee3091f5269fd.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",baby1_jpg.rf.6cb5382a4268d4a8af4acb611e5bd003.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",61_jpg.rf.223b7dc44b63395b9fed7f029a817203.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Miku_04_JPG_jpg.rf.28becef355c5859c6fcf6219928fbbed.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",9112_png_jpg.rf.b403636f02d4bd5ef3fc2cc3da904dea.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",2392_png_jpg.rf.1c5a92e886ba65c83a3dc682202f03de.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_96_jpeg_jpg.rf.467d06bf72f066ac7a2d57579639a234.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",444C90D2-D615-4BC7-A88E-F26CE96C3704_JPG_jpg.rf.6a1acf053cddcc4d9c5c811105980dbf.jpg,2
"(0.2565719485282898, 0.1255861222743988)","(0.43629080057144165, 0.13337352871894836)","(0.31711727380752563, 0.15327295660972595)","(0.3192419111728668, 0.20505161583423615)","(0.4224744737148285, 0.13567113876342773, 0.4609944224357605, 0.2705906927585602)",33_JPG_jpg.rf.06fc4720aa2207e8a5685b56832c0588.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",8248_png_jpg.rf.a7842707d926d081320cf69b61462360.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_1384_png_jpg.rf.d3f9e1aa55a097ebf258d13dc2e39777.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Miku_13_JPG_jpg.rf.52d5b02643b33bebf0903d169113be64.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_19_JPG_jpg.rf.15de404443f1df8cea8041f0aeb5a3b3.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.6280308365821838, 0.250625342130661, 0.454256534576416, 0.498349130153656)",baby41_jpg.rf.73777977afd50999829b1a0c66b3aabb.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Cubo_07_JPG_jpg.rf.05af88e9b78e7bd420518fd428bbdcbe.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_3_8_png_jpg.rf.673490e3794c48e023329886758a1d32.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",baby39_jpg.rf.8ceb9d82440d2b32c9c69cb6abc6207b.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Prone_12_jpg.rf.897430452ac42c15a81a103ae613d446.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_1391_png_jpg.rf.05a58b1b792ea1b5a372fb9043126a95.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",2_jpg.rf.b5123ce31f26d328af287f9d3e0e3e42.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_72_png_jpg.rf.e57e02be01343cbdd99bcf0205bce237.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8083990216255188, 0.6257793307304382, 0.3793790936470032, 0.5266954302787781)",baby11_jpg.rf.387327883ed99ff85209fd98ae37ab78.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Miku_10_JPG_jpg.rf.7a2a2656d6fc44cf739c95a7be01f8c0.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",1990_png_jpg.rf.5a49fbc902597a51fa31f1916c1cf1f3.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",82_jpg.rf.0a2dbe4e8242f24ed37de346226121fc.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",1923_png_jpg.rf.b6e11947928744943876c0e645e3b416.jpg,2
"(0.5303828120231628, 0.12403571605682373)","(0.6558764576911926, 0.15029263496398926)","(0.5784883499145508, 0.16254767775535583)","(0.5551215410232544, 0.2036217898130417)","(0.5998486280441284, 0.1398652195930481, 0.36027032136917114, 0.24965211749076843)",70_jpg.rf.f2b1e758b535a6f63e8383f96e95ec68.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.16207048296928406, 0.3082112669944763, 0.3236860930919647, 0.3516446053981781)",baby6_jpg.rf.11be9770b53cc260012e36a0ec8cabce.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_0_1_png_jpg.rf.bbab5e70f0960b2ef75f3194f2c25ad0.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",8A874723-5268-41B1-BDC5-E1D84F01A12E_JPG_jpg.rf.4dfe62195842f507f8bd66e9038796db.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",3836_png_jpg.rf.b57d40a84f8d37ba7e13021c217b1f67.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.758460521697998, 0.9397355914115906, 0.3126588761806488, 0.11999206244945526)",122_png_jpg.rf.65a2f999e3dd596bcd3f0521616b5499.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",29_jpg.rf.ec844b9dc48791ab206fabbb820951a9.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Prone_172_jpg.rf.ca4f79db3d2d42c311483e3bab58652f.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.5242923498153687, 0.45623382925987244, 0.14179667830467224, 0.10514755547046661)",27_jpg.rf.9f2a8146dfdbbebde184e233751d9527.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",53_JPG_jpg.rf.9e46dc11b6ab610dc3f37fc105f2c03c.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Prone_48_jpg.rf.a49ca01fe70282c37f0f991080243425.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.47141966223716736, 0.26319971680641174, 0.25111809372901917, 0.21765556931495667)",D88C4891-019C-4B47-9A76-3DBBDD135A0E_JPG_jpg.rf.479c452d490f935f82b814accef13fc4.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_12_png_jpg.rf.b664606b3637ca180416c689674cd194.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",baby49_jpg.rf.91d854590bbe4bb666cd2e380512c860.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.41488710045814514, 0.22498461604118347, 0.12818709015846252, 0.17286309599876404)",baby32_jpg.rf.b5f2238bbfa4c82b9a3bafe6c9e178b8.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.7453664541244507, 0.7963712215423584, 0.27780085802078247, 0.29986372590065)",baby4_jpg.rf.3df7e9db8133de743149b458390c4f62.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_10_JPG_jpg.rf.d9bb5fb48c4d09c4ae6976d5e5bfdc8b.jpg,1
"(0.271867573261261, 0.41841402649879456)","(-1, -1)","(0.24851593375205994, 0.4412280023097992)","(-1, -1)","(0.22945980727672577, 0.41598376631736755, 0.22464056313037872, 0.13427618145942688)",Prone_13_jpg.rf.d7f61c66807a85207f94cbd59735acc0.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_254_jpeg_jpg.rf.ca95b730f1d319b2e2c0ba112f292f7d.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",61_jpg.rf.516a8d82539e84b1af9e3b1bc8f1c671.jpg,1
"(0.21285200119018555, 0.081424780189991)","(0.11512129008769989, 0.12001421302556992)","(0.1751771867275238, 0.1111544594168663)","(-1, -1)","(0.13699686527252197, 0.13404378294944763, 0.26596927642822266, 0.2646770775318146)",baby46_jpg.rf.60677b7ae73da6bd0a82fbfffd28000a.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",2337_png_jpg.rf.8afb51febb1f3561173d987efe1eca1d.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Miku_10_JPG_jpg.rf.bfd04d59607591d9750e8caa8aa074db.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_09_JPG_jpg.rf.7a60e38b65e1a490ac2f6a2ba26a5903.jpg,1
"(-1, -1)","(-1, -1)","(0.8038557171821594, 0.11818075180053711)","(-1, -1)","(0.7995399832725525, 0.15057873725891113, 0.39610642194747925, 0.29379886388778687)",baby21_jpg.rf.434a25a6aed13693dfdc10405d5dbe4b.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_37_JPG_jpg.rf.f2c2dfc07b135b858fbb75b21df60462.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.24779677391052246, 0.3729187548160553, 0.48910874128341675, 0.6231192350387573)",3_jpg.rf.709bd5b1633510ae2e84082ce53ec7c0.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_22_JPG_jpg.rf.a270f8ad15c0e5d2547eecb5c3bd9e15.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",33_JPG_jpg.rf.2d15a0b6cde83dc3a9640df3d729ee82.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(0.7679908871650696, 0.6468464732170105)","(-1, -1)",baby43_jpg.rf.cb4b81e49dd18f8195db6d45970767df.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",3819_png_jpg.rf.544e784364c888b8a92bb65181cf879f.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_21_JPG_jpg.rf.14dd669fcbe69f901e834d383c5b9fcd.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Cubo_05_JPG_jpg.rf.092d1f560a36f5c17ae91e48bf39690c.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",baby44_jpg.rf.5aa6c6e7bda717a7fb031b57910afe04.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",baby7_jpg.rf.223973b8f0ea0380f33c608e74d0c55a.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.5024866461753845, 0.5031176805496216, 0.995026707649231, 0.9869648814201355)",Nanit_36_JPG_jpg.rf.56adf911cf1fe3bbf7ece8067a5339a7.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_16_JPG_jpg.rf.9c060b974ad23f87c12cb1948c638e32.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",81_jpg.rf.0bcde6b4c0cf0c0acea888753d48310b.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",baby43_jpg.rf.b55fdfada95fbc7b166679a362666fa9.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_40_JPG_jpg.rf.1ac0f8e060bd4eae1128348912f4f2c4.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_30_JPG_jpg.rf.86fd40b86e080d827b769c357d534c9c.jpg,2
"(0.2392045557498932, 0.5601109266281128)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",3640_png_jpg.rf.f3c94f908a953a54cb61aa235f9922e1.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",baby26_jpg.rf.c6c415b25aa17ffab41d3d1d3918c370.jpg,2
"(0.38635334372520447, 0.154830664396286)","(0.26444897055625916, 0.175188809633255)","(0.3222957253456116, 0.18418024480342865)","(0.3309478163719177, 0.23989138007164001)","(0.3474937379360199, 0.15855558216571808, 0.34387341141700745, 0.31427913904190063)",baby24_jpg.rf.80c6e43d3e632ab68e08c03f37cc3546.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Cubo_06_JPG_jpg.rf.a18aea72a8c9f6a7859f465979beaf71.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",51_jpg.rf.0f72346ae70d5437320b0b5d7d891ddf.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",baby7_jpg.rf.18123df88b620514dd9f668267036a31.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",baby37_jpg.rf.25f69980546a7b74a8d2241434046d5b.jpg,1
"(0.48666912317276, 0.1836189478635788)","(0.35506394505500793, 0.17612260580062866)","(0.39011791348457336, 0.2003212422132492)","(0.3920784890651703, 0.2516857087612152)","(0.5156590342521667, 0.16039934754371643, 0.38716641068458557, 0.2527526319026947)",79_JPG_jpg.rf.7b7a77eadde21fae9c8cc16c8775d26f.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Miku_01_JPG_jpg.rf.ec9db56ffbc59ed61859dab3a0e9c03c.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",baby9_jpg.rf.96d31c6dfbf7fd5dd6d42c0b96c173a7.jpg,1
"(0.39174824953079224, 0.40617838501930237)","(0.4395740032196045, 0.4031384587287903)","(0.41626614332199097, 0.42261308431625366)","(0.41816195845603943, 0.44833484292030334)","(0.42546528577804565, 0.40974754095077515, 0.11061246693134308, 0.08950214087963104)",7A649000-5F2C-4187-89DE-FA4198C01D4D_JPG_jpg.rf.053332117b8f1cef5f288ee0d0a24625.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_4_1_png_jpg.rf.e46b741da2950817fbc74fd51342eec4.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",2445_png_jpg.rf.3f4dbe96af609ccaaa5a32cf7e998f12.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.18712115287780762, 0.5943818092346191, 0.35535192489624023, 0.48609083890914917)",36_jpg.rf.b00070e890a4009271cbbe8b0337446a.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Cubo_09_JPG_jpg.rf.3913320cca825688e3e9e1743ed2695a.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",30_JPG_jpg.rf.8abbbc1f31e985bd9dd0e30767a994c7.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",D23E7A99-8F01-4D0E-838A-2C0BC882D168_JPG_jpg.rf.e7b4ed7bf776f38876ef5db11c04d0a1.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_103_jpeg_jpg.rf.caf2c0b230878d769845b3afbe926376.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",8524_png_jpg.rf.ad954f9b895be54f779d5407fe9b7c34.jpg,2
"(0.8785235285758972, 0.06690560281276703)","(-1, -1)","(0.8227894902229309, 0.03262719884514809)","(-1, -1)","(0.8822320103645325, 0.17266544699668884, 0.23553594946861267, 0.3453308939933777)",baby27_jpg.rf.edab3102d01a7f81e0fa11f348914c34.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",frame_14_2_png_jpg.rf.9c1fd0dc2aa3fbac7cafb55cd989dfbf.jpg,2
"(0.49696770310401917, 0.8622114062309265)","(-1, -1)","(-1, -1)","(-1, -1)","(0.4566635489463806, 0.8633744120597839, 0.223432257771492, 0.24661770462989807)",71_jpg.rf.ce0d3b6129ca018fedf9b37bcd813d6c.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.26198750734329224, 0.2741314768791199, 0.5239750146865845, 0.5475958585739136)",baby33_jpg.rf.326fcd60246420d09a3cd6c204a31990.jpg,2
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",2445_png_jpg.rf.2b0cabbac0ba45da2fecc234581cf896.jpg,2
