eye1,eye2,nose,mouth,head,image_path,label
"(0.6585418581962585, 0.4605157971382141)","(-1, -1)","(0.6872307658195496, 0.39626696705818176)","(-1, -1)","(0.75501549243927, 0.5716018080711365, 0.4837833344936371, 0.43123579025268555)",34_jpg.rf.a5e6e36586f00d4bc20e1286d345ce01.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Miku_03_JPG_jpg.rf.fa3c976e5a0de1b906fc285e3fb72ff5.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_23_JPG_jpg.rf.d65d606d5e12fb6bb36846847d509048.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",2150_png_jpg.rf.5c2b56583ea616a458e3dc9b42b98ca5.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8682804107666016, 0.20507454872131348, 0.2613588273525238, 0.35620397329330444)",3791_png_jpg.rf.3e7c0c14a6dd2186778868469f833a48.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.7159839272499084, 0.1476059854030609, 0.416689395904541, 0.2777089476585388)",1922_png_jpg.rf.3de2877a8d346738754da2bf6a479c8f.jpg,1
"(0.022797154262661934, 0.38281410932540894)","(-1, -1)","(-1, -1)","(-1, -1)","(0.4987892210483551, 0.8086493611335754, 0.828274130821228, 0.3600767254829407)",Nanit_19_JPG_jpg.rf.a17753b28bc8ba89e2a39cf2cd0af250.jpg,0
"(0.08119801431894302, 0.2577614188194275)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",8248_png_jpg.rf.a9b14802f1d207c37e6f2415d34ca464.jpg,0
"(0.6791787147521973, 0.8822826147079468)","(-1, -1)","(0.7670238614082336, 0.8629766702651978)","(0.7718179821968079, 0.8110193014144897)","(0.49280351400375366, 0.8726725578308105, 0.636695384979248, 0.2512178421020508)",baby31_jpg.rf.cdd2cee23c9bbdb79e333eff9ed90505.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",56_jpg.rf.cceca7d4dbf490a68940b2c6c5c7f785.jpg,1
"(-1, -1)","(-1, -1)","(0.3077068328857422, 0.7051882743835449)","(-1, -1)","(-1, -1)",84_jpg.rf.f801265c2a295cb6293f15089f23d224.jpg,1
"(0.8080762028694153, 0.23429138958454132)","(0.8130615949630737, 0.4082161486148834)","(0.7763087749481201, 0.325234591960907)","(0.7167707085609436, 0.32487958669662476)","(0.8195623159408569, 0.31233644485473633, 0.3441780209541321, 0.4636715054512024)",baby8_jpg.rf.e4ddacb7d341df9e7f745a8dbfe9a611.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.6301455497741699, 0.8884725570678711, 0.40119075775146484, 0.1861099749803543)",868_png_jpg.rf.f2a8a3b6eb29da565650c81594b16319.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8610305786132812, 0.7087346315383911, 0.2779387831687927, 0.5774381756782532)",baby12_jpg.rf.d7ae09ff83158eb364a97d3667b5e25e.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8788967132568359, 0.7957660555839539, 0.23926982283592224, 0.3829927444458008)",3659_png_jpg.rf.e3dcdd987fc611737d16d1634217bd15.jpg,1
"(0.877013087272644, 0.06444452702999115)","(-1, -1)","(0.836855411529541, 0.032424863427877426)","(-1, -1)","(0.8809606432914734, 0.17146170139312744, 0.23759731650352478, 0.3414627015590668)",baby27_jpg.rf.67307fed540b10a09b9692f59e82f221.jpg,0
"(0.12550219893455505, 0.4752446115016937)","(0.13141150772571564, 0.6665979623794556)","(0.15391084551811218, 0.5807719230651855)","(0.20523548126220703, 0.5596449971199036)","(0.12814609706401825, 0.5407427549362183, 0.2539316713809967, 0.38766196370124817)",baby48_jpg.rf.c2e1f991cc419569750ea13c58ebdf58.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.15133881568908691, 0.4851852357387543, 0.28550729155540466, 0.4570346772670746)",1214_png_jpg.rf.524a4ece23872d6b33fa15c8f6fbc862.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.12213236093521118, 0.3350887894630432, 0.2289210557937622, 0.657299816608429)",Miku_07_JPG_jpg.rf.48cccd6e8fcc7418499dc47c3c4afc48.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.4357687532901764, 0.8586624264717102, 0.5571808815002441, 0.27107080817222595)",94_JPG_jpg.rf.87399e825362cedc927930ecdc600a28.jpg,0
"(0.7365723848342896, 0.7844901084899902)","(0.8206037282943726, 0.7341740727424622)","(0.7528647184371948, 0.7264782786369324)","(0.7060486674308777, 0.6985475420951843)","(0.8071781396865845, 0.820538341999054, 0.3794586658477783, 0.3307587206363678)",100_jpg.rf.15f35dd4bcb48d17cee1697f413e4e1d.jpg,0
"(0.8767132759094238, 0.06494388729333878)","(-1, -1)","(0.8365150690078735, 0.03381429985165596)","(-1, -1)","(0.8808196783065796, 0.17167600989341736, 0.23788681626319885, 0.3422482907772064)",baby27_jpg.rf.edab3102d01a7f81e0fa11f348914c34.jpg,0
"(0.40781307220458984, 0.0844276174902916)","(-1, -1)","(0.3389907479286194, 0.08425356447696686)","(0.3206408619880676, 0.12447555363178253)","(0.4920748174190521, 0.11139678955078125, 0.4250180125236511, 0.2227935791015625)",baby15_jpg.rf.c91d6d7b1048e807f155a8d94de1f6d9.jpg,0
"(0.823736846446991, 0.6571582555770874)","(-1, -1)","(0.830398440361023, 0.7060142159461975)","(-1, -1)","(0.8586562275886536, 0.4421524107456207, 0.2826690673828125, 0.5928938984870911)",15_jpg.rf.94ee6d166a621deaa83050bd7d3184d5.jpg,0
"(0.1313541978597641, 0.4895837903022766)","(-1, -1)","(-1, -1)","(-1, -1)","(0.130183607339859, 0.3288269639015198, 0.24792703986167908, 0.5585630536079407)",baby2_jpg.rf.beb7a4fcf53678a1524fc8e0ce7c4bee.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.4896487295627594, 0.49479976296424866, 0.9792974591255188, 0.9895995259284973)",Miku_11_JPG_jpg.rf.5872db3ad0bfc7048349608481abf33f.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Cubo_03_JPG_jpg.rf.f9712caad71d86371d4d22bf77b039ea.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Miku_03_JPG_jpg.rf.368c76183179e1670458d360e2592ff5.jpg,1
"(0.12086174637079239, 0.4245460629463196)","(-1, -1)","(0.15914738178253174, 0.36835646629333496)","(0.19183003902435303, 0.38426628708839417)","(0.13182933628559113, 0.4677683413028717, 0.21704640984535217, 0.34582996368408203)",27_jpg.rf.a8512cbcfb9767ba8099a07666ea1f91.jpg,0
"(0.813790500164032, 0.5545464158058167)","(0.8497616052627563, 0.46381431818008423)","(0.8017600774765015, 0.4886859059333801)","(0.7667819261550903, 0.4732109010219574)","(0.8534381985664368, 0.5514609217643738, 0.2887287735939026, 0.30742013454437256)",baby9_jpg.rf.fb74532653a0717e1302cbbd60f5afc3.jpg,0
"(0.8353378176689148, 0.6262789964675903)","(-1, -1)","(0.8571721315383911, 0.5704976320266724)","(0.825757622718811, 0.5516520142555237)","(0.7981216907501221, 0.6767978668212891, 0.2875191569328308, 0.27741336822509766)",23_jpg.rf.93f373289b12f9bcbeb5b5e66da22ba6.jpg,0
"(0.8847234845161438, 0.8797296285629272)","(0.7971717715263367, 0.9171661138534546)","(0.8286590576171875, 0.8855193853378296)","(0.8114151954650879, 0.8130477070808411)","(0.8658822178840637, 0.7726956605911255, 0.25782299041748047, 0.4426279067993164)",baby46_jpg.rf.3f0d64baeab8b2bf66ae568619e6460b.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Miku_11_JPG_jpg.rf.cc7fdcfd8b7b6792ad98b3d8aae0ba57.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",2426_png_jpg.rf.67dbb0fac4eb336249dfd1b3493708b1.jpg,1
"(0.38477450609207153, 0.15889719128608704)","(0.26557689905166626, 0.17487701773643494)","(0.32273516058921814, 0.18945087492465973)","(0.3303561806678772, 0.24145975708961487)","(0.3436165452003479, 0.15252234041690826, 0.3211909234523773, 0.2970353364944458)",baby24_jpg.rf.4b7fba3a780fe73cffa74ecb7b0cb3f9.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.7379709482192993, 0.13771191239356995, 0.3803810179233551, 0.2726568281650543)",2337_png_jpg.rf.f6aedef8e91100f8d2ab2a93e3061cd5.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.6510113477706909, 0.19123400747776031, 0.4767485558986664, 0.37355872988700867)",Nanit_37_JPG_jpg.rf.48a8706ebf57b2a82d67967b7fcf7c06.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",56_jpg.rf.87c3166db87cd8a896f4df23b427d902.jpg,1
"(0.4420669674873352, 0.12790799140930176)","(-1, -1)","(0.5037261843681335, 0.14337758719921112)","(0.5137844085693359, 0.2049291878938675)","(0.3612944185733795, 0.16264338791370392, 0.38268011808395386, 0.29316654801368713)",32_jpg.rf.72ac75691fb47299f23dcb89463877d8.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.528366208076477, 0.13313136994838715, 0.499620258808136, 0.25185224413871765)",64_jpg.rf.97ae253a8676048b7e1c9c183c008463.jpg,1
"(0.3622351288795471, 0.8162164688110352)","(0.13808883726596832, 0.8027855157852173)","(0.21762843430042267, 0.7799493074417114)","(0.23249872028827667, 0.7278830409049988)","(0.4384503960609436, 0.8180162310600281, 0.7419270277023315, 0.33341336250305176)",1_jpg.rf.41c909518d3e2641231adc389d1d5b7b.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.26903459429740906, 0.1325133740901947, 0.3827192783355713, 0.261247456073761)",2427_png_jpg.rf.14f064b3b200d8e0087b86528e9d721b.jpg,1
"(-1, -1)","(-1, -1)","(0.16831108927726746, 0.3211852014064789)","(0.20520606637001038, 0.33423861861228943)","(0.12990759313106537, 0.41465502977371216, 0.2584100067615509, 0.43106985092163086)",Cubo_09_JPG_jpg.rf.9ba2cb2a18c6b750df0968b7106149ea.jpg,0
"(-1, -1)","(-1, -1)","(0.1671467274427414, 0.3155812621116638)","(-1, -1)","(0.14420033991336823, 0.5562763810157776, 0.28303784132003784, 0.5514349937438965)",94_JPG_jpg.rf.d2da9c6225c80ddcd0410952808bb5e0.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.15624883770942688, 0.2720396816730499, 0.273306280374527, 0.39328083395957947)",1922_png_jpg.rf.bb8b3b10c2640d72044e2c1ccd6aaaef.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",2392_png_jpg.rf.d705626982f2fb552860dd1bdf0af6ee.jpg,1
"(0.30893123149871826, 0.29456037282943726)","(0.3733724057674408, 0.22206315398216248)","(0.37080898880958557, 0.2842129170894623)","(0.3901008665561676, 0.31459841132164)","(0.33019137382507324, 0.2634858787059784, 0.292550653219223, 0.32597652077674866)",baby38_jpg.rf.27199d2e0eadb9ff3b0f5eef1e2a505e.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_25_JPG_jpg.rf.03febf0542c6957e202be8015800475a.jpg,0
"(0.7725595235824585, 0.22103175520896912)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8181808590888977, 0.35272514820098877, 0.35558515787124634, 0.4620742201805115)",baby11_jpg.rf.4de823f465a89d249d0126c1d3d974bb.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.14613020420074463, 0.2933507263660431, 0.2902280390262604, 0.576377809047699)",baby12_jpg.rf.1c3759ac2a5ad50e226660b85b83808f.jpg,1
"(0.8115018606185913, 0.7631398439407349)","(0.813875675201416, 0.5972720384597778)","(0.7826874256134033, 0.6754311323165894)","(0.7240654230117798, 0.6777130961418152)","(0.8221646547317505, 0.6937268972396851, 0.34854641556739807, 0.4596460461616516)",baby8_jpg.rf.4958172742eac406b0baab7e92c0311b.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.27623802423477173, 0.1200592964887619, 0.5524760484695435, 0.2401185929775238)",1190_png_jpg.rf.d50cbdf254308a77b184e658c68bf8b1.jpg,1
"(0.25427746772766113, 0.6877305507659912)","(0.2613478899002075, 0.9568431973457336)","(0.2927027940750122, 0.852352499961853)","(0.3563530147075653, 0.8405362963676453)","(0.20189733803272247, 0.6696251630783081, 0.3962309956550598, 0.660749614238739)",80_jpg.rf.9d619341abdc482fb162d71c74b58e91.jpg,1
"(0.8687406778335571, 0.6436671018600464)","(-1, -1)","(0.8453429937362671, 0.7732563018798828)","(0.8698520660400391, 0.8305044174194336)","(0.8583649396896362, 0.600955605506897, 0.27101022005081177, 0.6080436706542969)",baby3_jpg.rf.c47d92889ea5462e27999544659d425a.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_30_JPG_jpg.rf.8bb7d0ce6e30aef888d4eea2147709bd.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.561174213886261, 0.49658164381980896, 0.8775760531425476, 0.9931632876396179)",Miku_11_JPG_jpg.rf.d864e13490f6d146bb77ad484ab7c883.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.529831051826477, 0.5883798599243164, 0.6324331164360046, 0.8215648531913757)",Miku_01_JPG_jpg.rf.a26240e4439b2e727e8e9e49d98977f8.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.18566882610321045, 0.5639780759811401, 0.3711569309234619, 0.5026796460151672)",baby49_jpg.rf.a985b733cc5ec1ccfd0c31090365d093.jpg,1
"(0.12455765902996063, 0.4749872088432312)","(0.13140031695365906, 0.6669150590896606)","(0.1536773145198822, 0.5808426141738892)","(0.2053101807832718, 0.5597027540206909)","(0.128117635846138, 0.5399138331413269, 0.25396600365638733, 0.38738736510276794)",baby48_jpg.rf.fc8771cadd2f03997c6d500eb782b39e.jpg,0
"(0.7728493213653564, 0.21930675208568573)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8190094828605652, 0.3631129860877991, 0.35715141892433167, 0.48668813705444336)",baby11_jpg.rf.6cc6dc17230eddafa2afad28dbbe7fa0.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8035739660263062, 0.8878871202468872, 0.3880336880683899, 0.21422462165355682)",3718_png_jpg.rf.c601fe4eebcf8c96815e076f017bfc24.jpg,1
"(0.3630751967430115, 0.13784754276275635)","(-1, -1)","(0.3145101070404053, 0.17417721450328827)","(0.3287507891654968, 0.22315993905067444)","(0.48916369676589966, 0.13822099566459656, 0.43113118410110474, 0.2758592665195465)",baby36_jpg.rf.0dd5f3e379c34b1eed8d172e6eb06bc2.jpg,0
"(0.7718237042427063, 0.8960633277893066)","(0.8427570462226868, 0.7976418733596802)","(0.7780863046646118, 0.822750449180603)","(0.7302145957946777, 0.7897496223449707)","(0.821389377117157, 0.8301353454589844, 0.35702818632125854, 0.32050126791000366)",31_jpg.rf.3c8de6b362c08c45898a86745c0a19e8.jpg,0
"(0.6861480474472046, 0.19195780158042908)","(-1, -1)","(0.7220350503921509, 0.2320556640625)","(0.6922744512557983, 0.2713898718357086)","(0.626031756401062, 0.15707997977733612, 0.3247191309928894, 0.3016830384731293)",11_jpg.rf.e18107a0c4876fb5b15af81d18752ef1.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8841472864151001, 0.8087655901908875, 0.22890353202819824, 0.37694400548934937)",3690_png_jpg.rf.a61940d3325995ab30f7a70fb371bc70.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)",Nanit_29_JPG_jpg.rf.af78dfe73e0ab278371c349b3af10c7c.jpg,1
"(-1, -1)","(-1, -1)","(-1, -1)","(0.22204414010047913, 0.34221571683883667)","(0.13468226790428162, 0.47033366560935974, 0.24512824416160583, 0.3557831048965454)",30_JPG_jpg.rf.ee20af8f3f19112ba32ed25326890e35.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.8623186349868774, 0.27200278639793396, 0.27536267042160034, 0.32552090287208557)",53_JPG_jpg.rf.ea5341ff22fe23773c1f01946527ed0c.jpg,1
"(0.12336429208517075, 0.5214754343032837)","(-1, -1)","(-1, -1)","(0.12384124100208282, 0.5224019289016724)","(0.1562531292438507, 0.3312589228153229, 0.31136488914489746, 0.6614405512809753)",baby26_jpg.rf.d5ef3b33736f291edbc72a23813b2071.jpg,1
"(0.33421239256858826, 0.12367485463619232)","(-1, -1)","(0.23815949261188507, 0.13861815631389618)","(-1, -1)","(0.47593188285827637, 0.1257385015487671, 0.7551045417785645, 0.2514770030975342)",baby31_jpg.rf.45c1250dc8af59f0d694936ecd2922bf.jpg,0
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(0.7243748903274536, 0.8388532400131226, 0.5124506950378418, 0.32229357957839966)",2344_png_jpg.rf.6dd072d5106ab4484e15b52dc8204313.jpg,1
